X,ERR525691,ERR525707,ERR525711,ERR525724,ERR525736,ERR525740,ERR525745,ERR525749,ERR525762,ERR525766,ERR525782,ERR525786,ERR525808,ERR525818,ERR525834,ERR525838,ERR525846,ERR525850,ERR525854,ERR525862,ERR525866,ERR525874,ERR525878,ERR525883,ERR525888,ERR525892,ERR525894,ERR525900,ERR525927,ERR525930,ERR525934,ERR525938,ERR525966,ERR525970,ERR525982,ERR525986,ERR525990,ERR525994,ERR525998,ERR526014,ERR526022,ERR526030,ERR526034,ERR526038,ERR526046,ERR526074,ERR526078,ERR526082
20298_3_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9129492321914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20298_3_17,0,0,0.400045697610671,0,0.124372907629118,0.15226420823303,0.74842356912221,0,0,0,0.296872223170916,3.37199172706423,0,0,0,0,0,0,0.167738264761155,0,0,0,0.11881740389174,23.1821365898868,0,0,0,0,0.148907934159432,0.140098702885268,0.47745328193976,0,0.14660426262751,0,0,0,0,0.871139533960703,0,0,0,0,0,0.194721671918855,0,0,0,0
20298_3_18,0.757581120050913,0.141183207961193,0,0,0.213015981266243,0.918860310324602,0,0.207200274749603,0,0.365962901600691,0,0.559221454415015,0.664571125680065,0.136894082463611,0,0.554290035264436,0.204907331131874,0,0,0,0.448006636362637,0,0.396790515741173,0,1.70054295820167,0,0,0.34697392218214,0.441999244793917,1.27479125068121,0,1.51463695889671,1.01830686983584,2.52901050704186,0.66876421589069,0.16533961817662,0,0,0,0,0.702510279461983,0.885508223295338,2.95381886130945,0,0,0,0.189883873805821,0.494973186363372
20298_3_19,0,0,0.189628318914715,0,0,0.180149711759398,0.372126697593704,0,0,0,0.287139063817806,0,0,0,0,0,0,0,0,0,0,0,0,0.196642735555892,0,0,0,0,0,0.114859547250975,0.261052557870227,0,0.130758325514048,0,0,0,0,1.30817929236648,0,0,0,0,0,0,0,0,0,0
20298_3_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62839853118294,0,0,0,0,0
20298_3_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31663135403696
20298_3_24,5.9933926320126,2.42130940777442,0.472771481050461,0,8.43617844320209,6.41090065815957,1.38994116667216,4.93603263516949,3.4008361013799,2.25591425782075,0,5.58280238901413,4.44765925386128,2.13231801370933,1.48457891437097,5.03609396984536,0,0.125218807094499,3.68883473877392,5.65418056613089,4.77215340148168,3.70464446660618,10.1367083943882,0,7.99864071907026,1.25948515137579,0.593808817828389,2.94670303329975,3.23391152518485,11.3351051775955,0.247311687425653,7.42856740497365,0.194153811699091,0.509571321593045,8.23454560325882,3.34383846894944,4.42857956075698,1.10690354334649,10.0891535444356,0.989978845507258,10.5124538295352,7.66929881118593,5.29230258304134,0,0,0.921967978633654,5.71860843755421,11.5778001494069
20298_3_25,0.752462843764399,0.141968618797821,0,0,0.236839753849753,0.882679348083297,0,0.176982086150408,0,0.359636236899836,0,0.572584390719243,0.649176488840627,0.131402065941948,0,0.55073408963922,0.177588103197924,0,0,0,0.513952995530592,0,0.347732311694578,0,1.73104248950705,0,0,0.349156008779742,0.38291816885304,1.38083623108935,0,1.46426460974158,0.937081769965353,2.63924884437072,0.693179009490148,0.143944067448077,0,0,0,0,0.711787581016099,0.897412009629375,4.19962291674111,0,0,0,0.178862039284586,0.485513394069557
20298_3_3,6.14258494078971,4.16570687592405,0,0,12.396516580006,6.92277300168515,3.54768494604589,5.05837539952559,3.23908408704554,9.14080092892428,0.34067144025991,1.80724998556222,4.78900295387592,0.257901950072196,1.60688005979842,2.00703404184148,3.6602779213138,0.177466037264028,0.859309672274926,10.5484269787053,4.04454372682424,0.261902664157225,5.94753285274918,0.179434930295861,7.84725213640899,6.39669044779886,14.3172779295237,6.74818587744693,4.21160570721747,10.9834230981953,0,7.60806629217804,0.483406721541343,13.312613218519,8.54450733069542,5.42423376115316,5.36813683496962,7.78428305521661,0.784015494290857,0.669840404336975,12.4017004669315,7.8750986466117,5.43470721397688,0,0.967668004015495,4.27071202072821,6.00702119991605,12.0020445150185
20298_3_30,0,0,0,0,0,0,0,0.12014960433615,0,0,0,0,0,0.137510132049573,0,0,0,0,0.122371089648511,0,0,0.197440444501099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219987720841101,0,0,0,0,0,0.136409120699084,0.146161649623077,0,0
20298_3_36,0,0,0,0,0,0,0,0,0,0,0,0,0.511128320172957,0,0.383514109450156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15186450813026,0,0,0,0,0,0,0,0,0.120616070806328,0,0,0,0,0,0,0.155524127666271
20298_3_37,0,0,0.350683655895076,0,1.81526662296451,0.195230430295015,0.338800349593741,0,0,0,0.676465437942202,0,0.139067284034766,0,0,0,0,0,0.138870307410838,0,0,0,0.11881740389174,0.314626099218315,0,0,2.13929017005719,0,0,0.150196616624768,0.374408743893796,0,0.174340521441666,0,0,0,0,7.21064717050962,0,0,0,0,0,0.185999599572472,0,0,0,0
20298_3_39,0,0,0,0,0,0,0,0,0,0,0.150863969973203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
