TranslatedReaction	VMHreaction
rxn06510	ACACT6r
rxn02804	ACACT7r
rxn04964	ACACTOR
rxn06062	ACAH
rxn00171	ACALD
rxn13211	ACALDCD
rxn26744	ACALDCD
rxn26745	ACALDCD
rxn31809	ACALDCD
rxn03681	ACALDHL
rxn08032	ACALDt
rxn08033	ACALDt
rxn09700	ACALDt
rxn13212	ACALDt
rxn34463	ACALDt
rxn03537	ACBIPGT
rxn14332	ACCOAAT
rxn00533	ACCOAC
rxn11196	ACCOAC2
rxn12991	ACCOAC2
rxn06673	ACCOACL
rxn02036	ACCOACORAT
rxn00669	ACCOAL
rxn00172	ACCOAL2
rxn27657	ACCOAL2
rxn27658	ACCOAL2
rxn31758	ACCOAL2
rxn04657	ACCOALYS1
rxn04658	ACCOALYS2
rxn04659	ACCOALYS3
rxn06660	ACCOAN3AT
rxn14287	ACCOAOAT
rxn03641	ACCOAT
rxn25216	ACCOAT
rxn01901	ACDOR
rxn03086	ACEDIPIT
rxn11396	ACGALt2r
rxn08037	ACGALtr
rxn29409	ACGALtr
rxn08038	ACGAM1PP
rxn00897	ACGAM2E
rxn01483	ACGAM6PSi
rxn00891	ACGAMH
rxn20227	ACGAMH
rxn00892	ACGAMK
rxn01505	ACGAMPM
rxn30177	ACGAMPM
rxn13990	ACGAMPT
rxn08040	ACGAMT
rxn08042	ACGAMtex
rxn12630	ACGAMtr2
rxn05485	ACGApts
rxn08041	ACGApts
rxn01917	ACGK
rxn00192	ACGS
rxn03194	ACHBPL
rxn08043	ACHBS
rxn00257	ACITL
rxn33091	ACITL
rxn33092	ACITL
rxn00225	ACKr
rxn02113	ACLDC
rxn15383	ACLDC
rxn00003	ACLS
rxn00011	ACLS_a
rxn02185	ACLS_b
rxn15491	ACLS_b
rxn32060	ACLS_b
rxn33391	ACLS_b
rxn34626	ACLS_b
rxn04660	ACLYSHYc
rxn08044	ACM6PH
rxn08045	ACMAMUT
rxn08046	ACMANApts
rxn10183	ACMANApts
rxn08047	ACMANAtex
rxn05486	ACMANAtr
rxn03064	ACNAM9PL
rxn01317	ACNAMPH
rxn15257	ACNAMPH
rxn01316	ACNAMS
rxn15255	ACNAMS
rxn29090	ACNAMt2
rxn29660	ACNAMt2
rxn45341	ACNAMt2
rxn05487	ACNAMt2r
rxn08050	ACNAMt2r
rxn08051	ACNAMtr
rxn28539	ACNAMtr
rxn46465	ACNAMtr
rxn01322	ACNML
rxn15267	ACNMLr
rxn10212	ACOAAGPAT140
rxn10211	ACOAAGPAT160
rxn10213	ACOAAGPAT180
rxn10218	ACOAAGPATAI15
rxn10214	ACOAAGPATAI17
rxn10216	ACOAAGPATI14
rxn10217	ACOAAGPATI15
rxn10219	ACOAAGPATI16
rxn10215	ACOAAGPATI17
rxn07108	ACOAANAT
rxn06012	ACOAAT
rxn00868	ACOAD1
rxn00872	ACOAD1f
rxn10010	ACOAD2
rxn02268	ACOAD20
rxn03251	ACOAD2f
rxn31450	ACOAD2f
rxn02679	ACOAD3f
rxn31439	ACOAD3f
rxn10011	ACOAD3rev
rxn03253	ACOAD4f
rxn10012	ACOAD4rev
rxn02720	ACOAD5f
rxn10013	ACOAD5rev
rxn02803	ACOAD6f
rxn31444	ACOAD6f
rxn10014	ACOAD6rev
rxn00946	ACOAD7f
rxn31416	ACOAD7f
rxn05732	ACOAD7i
rxn02866	ACOAD8
rxn27956	ACOAD8
rxn08053	ACOAD8f
rxn13659	ACOAD8x
